tID,tideID,high_start_time,high_start_type,high_start_level,low_time,low_type,low_level,high_end_time,high_end_type,high_end_level
1,2023001,2023-01-01T02:40:00Z,HH,146,2023-01-01T09:20:00Z,HL,-22,2023-01-01T15:00:00Z,LH,83
2,2023002,2023-01-01T15:00:00Z,LH,83,2023-01-01T21:40:00Z,LL,-77,2023-01-02T04:30:00Z,HH,109
3,2023003,2023-01-02T04:30:00Z,HH,109,2023-01-02T10:20:00Z,HL,-49,2023-01-02T16:30:00Z,LH,95
4,2023004,2023-01-02T16:30:00Z,LH,95,2023-01-02T23:00:00Z,LL,-51,2023-01-03T05:10:00Z,HH,110
5,2023005,2023-01-03T05:10:00Z,HH,110,2023-01-03T11:30:00Z,HL,-74,2023-01-03T17:30:00Z,LH,63
6,2023006,2023-01-03T17:30:00Z,LH,63,2023-01-03T23:50:00Z,LL,-77,2023-01-04T06:20:00Z,LH,106
7,2023007,2023-01-04T06:20:00Z,LH,106,2023-01-04T12:00:00Z,HL,-20,2023-01-04T19:00:00Z,HH,148
8,2023008,2023-01-04T19:00:00Z,HH,148,2023-01-05T00:40:00Z,HL,-7,2023-01-05T06:50:00Z,HH,147
9,2023009,2023-01-05T06:50:00Z,HH,147,2023-01-05T13:20:00Z,LL,-51,2023-01-05T19:30:00Z,LH,105
10,2023010,2023-01-05T19:30:00Z,LH,105,2023-01-06T01:50:00Z,LL,-90,2023-01-06T08:10:00Z,LH,81
11,2023011,2023-01-06T08:10:00Z,LH,81,2023-01-06T14:10:00Z,HL,-73,2023-01-06T20:20:00Z,HH,135
12,2023012,2023-01-06T20:20:00Z,HH,135,2023-01-07T02:20:00Z,HL,-36,2023-01-07T08:10:00Z,HH,113
13,2023013,2023-01-07T08:10:00Z,HH,113,2023-01-07T14:50:00Z,LL,-94,2023-01-07T21:00:00Z,LH,88
14,2023014,2023-01-07T21:00:00Z,LH,88,2023-01-08T03:00:00Z,LL,-66,2023-01-08T09:10:00Z,LH,109
15,2023015,2023-01-08T09:10:00Z,LH,109,2023-01-08T15:00:00Z,HL,-56,2023-01-08T21:30:00Z,HH,145
16,2023016,2023-01-08T21:30:00Z,HH,145,2023-01-09T03:40:00Z,LL,-34,2023-01-09T09:40:00Z,LH,149
17,2023017,2023-01-09T09:40:00Z,LH,149,2023-01-09T15:50:00Z,HL,-26,2023-01-09T21:50:00Z,HH,161
18,2023018,2023-01-09T21:50:00Z,HH,161,2023-01-10T04:30:00Z,HL,-48,2023-01-10T10:00:00Z,HH,95
19,2023019,2023-01-10T10:00:00Z,HH,95,2023-01-10T16:20:00Z,LL,-85,2023-01-10T22:20:00Z,LH,93
20,2023020,2023-01-10T22:20:00Z,LH,93,2023-01-11T04:40:00Z,LL,-73,2023-01-11T11:00:00Z,LH,95
