---
source: R[v4.4.3]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-04-04 18:13:20
schema:
  fields:
  - name: species
    type: character
  - name: posID
    type: numeric
  - name: tag
    type: character
  - name: time
    type: numeric
  - name: datetime
    type: POSIXct
  - name: x
    type: numeric
  - name: 'y'
    type: numeric
  - name: nbs
    type: numeric
  - name: varx
    type: numeric
  - name: vary
    type: numeric
  - name: speed_in
    type: numeric
  - name: speed_out
    type: numeric
  - name: x_raw
    type: numeric
  - name: y_raw
    type: numeric
  - name: n_aggregated
    type: integer
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,posID,tag,time,datetime,x,y,nbs,varx,vary,speed_in,speed_out,x_raw,y_raw,n_aggregated
redshank,2,3027,1695438780,2023-09-23T03:13:00Z,650705.635839841,5902556.13141677,3,17.1387630038791,147.229224310981,0,0.0137753556448665,650696.686237117,5902553.74096732,3
redshank,5.5,3027,1695439140,2023-09-23T03:19:00Z,650722.095295579,5902561.84117256,3,7.50921615958214,42.0978447198868,0.448405062855996,0.438073546122346,650723.451219185,5902562.77669361,4
redshank,12.5,3027,1695439200,2023-09-23T03:20:00Z,650712.022262049,5902562.70906912,3,3.0413772392273,21.7432564544678,0.54612221745749,0.624126987655706,650711.242126053,5902557.3706501,10
redshank,18,3027,1695439260,2023-09-23T03:21:00Z,650702.913100161,5902561.87478523,3,8.48019599914551,70.1076507568359,0.780047701982161,0.000461632530460753,650706.449231354,5902562.51096305,1
redshank,21.5,3027,1695439440,2023-09-23T03:24:00Z,650705.184022901,5902575.9500449,3,11.4459573957655,99.7033114963108,2.0612871418937,2.06121020313862,650701.828201584,5902566.86508842,6
redshank,33,3027,1695439500,2023-09-23T03:25:00Z,650700.060628513,5902562.42388853,3,2.89313557238727,24.4579484668983,1.04136913377813,1.06641841488285,650699.568900546,5902560.42396186,17
redshank,43,3027,1695439560,2023-09-23T03:26:00Z,650703.818274326,5902576.47548189,3,14.4800737169054,134.79594930013,1.83862231026883,1.69667638400872,650705.672990724,5902577.15154737,3
redshank,45,3027,1695439740,2023-09-23T03:29:00Z,650704.737268098,5902581.48186254,3,30.0936241149902,316.238006591797,0,0.0213399228521589,650704.799867997,5902585.72789467,1
redshank,46,3027,1695439980,2023-09-23T03:33:00Z,650704.737268098,5902576.8727593,3,88.581657409668,763.6455078125,0.0213399228521589,0.00553661550787268,650697.006370663,5902547.87395904,1
redshank,47,3027,1695442080,2023-09-23T04:08:00Z,650701.863495073,5902565.53889249,3,93.3497314453125,820.296203613281,0.00553661550787268,0,650707.364211614,5902576.8727593,1
redshank,49.5,3027,1695442680,2023-09-23T04:18:00Z,650701.753403442,5902565.53889249,3,8.6841197013855,77.4506411552429,0.0367094460966326,0.0927527342020201,650701.015317492,5902562.08466974,4
redshank,56,3027,1695442740,2023-09-23T04:19:00Z,650703.633815413,5902557.96797011,3,6.22212764951918,50.1972374150783,0.779500424491161,0.829105196773248,650703.061598414,5902557.14985576,9
redshank,63.5,3027,1695442800,2023-09-23T04:20:00Z,650707.5255309,5902559.35718685,3,5.96575840314229,45.1095621320937,0.357056842118155,0.525449090711041,650707.440375401,5902564.8531165,6
redshank,67,3027,1695442980,2023-09-23T04:23:00Z,650771.732938156,5902223.21358398,3,11.7444162368774,42.5167350769043,1.68096959451765,3.2704988979938,650781.966730154,5902223.21358398,1
